timestamp,scan_number,ch_00,system_file,system_id
2025-11-21 14:35:46.079,162,414.513743,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:47.079,163,414.520342,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:48.079,164,414.504113,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:49.079,165,414.497055,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:50.079,166,414.521721,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:51.079,167,414.513442,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:52.078,168,414.491678,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:53.079,169,414.504936,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:54.079,170,414.505062,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:55.079,171,414.518577,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:56.079,172,414.532475,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:57.078,173,414.558932,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:58.079,174,414.577956,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:35:59.079,175,414.588778,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:00.078,176,414.596866,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:01.078,177,414.601299,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:02.079,178,414.608194,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:03.079,179,414.617297,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:04.079,180,414.625823,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:05.079,181,414.611556,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:06.079,182,414.641495,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:07.079,183,414.630861,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:08.079,184,414.638992,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:09.079,185,414.64225,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
2025-11-21 14:36:10.079,186,414.645772,catalumniscence\21-11-2025 0 2025-11-21.csv,21-11-2025 0 2025-11-21
